14050858	02,05,08,10,04
14050859	04,05,09,11,08
14050860	09,03,04,06,02
14050861	10,11,07,05,06
14050862	04,01,05,02,06
14050863	10,11,02,03,09
14050864	01,02,11,09,07
14050865	06,02,04,09,01
14050866	10,05,08,11,03
14050867	02,08,05,01,06
14050868	06,10,03,11,07
14050869	01,10,04,02,05
14050870	02,06,04,09,07
14050871	11,01,05,08,02
14050872	01,02,05,07,04
14050873	02,06,11,09,07
14050874	01,09,08,07,03
14050875	05,07,09,02,11
14050876	01,04,05,03,07
14050877	05,04,09,10,11
14050878	08,02,06,11,04
14050901	07,04,02,03,08
14050902	09,10,11,07,06
14050903	05,08,06,10,02
14050904	08,04,01,05,10
14050905	08,10,01,05,04
14050906	09,07,06,11,03
14050907	07,06,05,04,03
14050908	07,08,10,03,02
14050909	07,05,04,01,09
14050910	07,05,09,03,04
14050911	01,05,06,03,07
14050912	11,03,08,06,01
14050913	05,07,10,09,03
14050914	10,05,11,07,09
14050915	05,09,08,02,07
14050916	08,07,01,09,10
14050917	06,05,07,11,04
14050918	09,05,10,02,04
14050919	07,02,03,06,05
14050920	04,10,07,08,09
14050921	03,04,07,08,10
14050922	03,06,11,07,02
14050923	05,01,06,11,10
14050924	05,11,09,08,01
14050925	05,08,09,04,02
14050926	07,03,02,09,10
14050927	07,09,04,10,05
14050928	10,09,08,04,05
14050929	08,03,06,07,01
14050930	11,02,10,09,04
14050931	06,07,05,02,11
14050932	06,08,05,01,11
14050933	03,09,08,04,07
14050934	06,11,02,04,09
14050935	07,05,04,01,02
14050936	11,05,02,07,03
14050937	08,07,05,06,11
14050938	01,11,03,06,10
14050939	06,02,01,10,11
14050940	08,03,04,02,01
14050941	11,06,03,08,07
14050942	04,11,10,01,05
14050943	01,05,10,06,08
14050944	05,03,10,04,09
14050945	06,02,11,07,03
14050946	06,05,07,09,11
14050947	03,05,08,09,07
14050948	07,05,02,10,03
14050949	06,05,07,04,10
14050950	02,05,06,09,03
14050951	03,10,08,04,05
14050952	08,04,06,10,05
14050953	01,02,11,05,07
14050954	11,01,10,08,06
14050955	02,08,10,05,04
14050956	05,01,04,09,06
14050957	07,08,09,05,03
14050958	02,08,07,04,11
14050959	02,10,06,04,09
14050960	07,05,10,06,01
14050961	04,02,10,07,03
14050962	02,03,10,08,09
14050963	08,05,07,02,10
14050964	08,04,03,02,01
14050965	08,09,06,02,01
14050966	10,03,08,02,06
14050967	08,06,09,11,03
14050968	03,08,02,09,11
14050969	05,08,06,11,10
14050970	07,05,03,11,10
14050971	04,08,03,11,10
14050972	04,08,01,06,10
14050973	11,10,05,02,03
14050974	05,07,02,10,09
14050975	04,10,07,02,01
14050976	02,06,03,04,10
14050977	06,04,10,03,11
14050978	04,02,10,11,08
14051001	01,11,03,10,02
14051002	07,08,10,05,01
14051003	04,09,07,06,01
14051004	01,03,05,10,11
14051005	04,11,02,03,10
14051006	11,07,05,04,03
14051007	02,05,03,11,04
14051008	07,01,05,04,06
14051009	04,01,07,08,09
14051010	08,07,03,10,11
14051011	05,07,06,11,10
14051012	11,08,03,07,02
14051013	02,06,05,01,10
14051014	10,01,09,11,05
14051015	01,02,09,03,05
14051016	11,10,02,08,03
14051017	08,06,11,05,10
14051018	06,01,04,07,11
14051019	04,06,09,08,01
14051020	06,11,05,07,04
14051021	09,08,03,11,01
14051022	06,10,01,04,03
14051023	04,11,01,02,09
14051024	03,10,09,11,05
14051025	11,01,10,03,02
14051026	09,02,11,10,08
14051027	01,02,11,04,09
14051028	08,06,05,10,09
14051029	10,11,06,09,08
14051030	05,04,07,01,03
14051031	01,10,09,02,07
14051032	09,07,01,05,03
14051033	10,06,09,05,04
14051034	05,09,03,11,06
14051035	10,02,04,01,09
14051036	08,09,07,10,01
14051037	03,04,10,07,06
14051038	07,01,04,09,10
14051039	10,03,01,08,05
14051040	08,09,03,04,10
14051041	09,05,01,07,06
14051042	07,02,03,01,11
14051043	11,03,06,05,09
14051044	10,09,11,07,05
14051045	04,11,07,06,09
14051046	01,06,05,11,10
14051047	05,09,07,03,11
14051048	07,05,02,06,10
14051049	04,09,11,07,03
14051050	06,11,10,08,07
14051051	08,10,07,05,03
14051052	08,11,04,02,07
14051053	06,11,01,05,04
14051054	07,10,05,04,03
14051055	09,02,03,07,01
14051056	08,03,05,11,09
14051057	03,04,11,09,10
14051058	11,08,01,04,03
14051059	03,11,07,09,01
14051060	03,05,07,11,09
14051061	01,05,08,03,09
14051062	02,03,11,05,10
14051063	07,03,06,02,09
14051064	07,11,08,04,03
14051065	03,11,10,05,04
14051066	07,02,10,11,08
14051067	09,04,01,08,05
14051068	10,08,06,03,01
14051069	11,07,04,09,03
14051070	02,05,06,04,01
14051071	11,07,06,01,03
14051072	04,11,01,05,02
14051073	03,11,02,07,09
14051074	02,05,10,03,01
14051075	08,11,07,09,01
14051076	03,09,06,10,02
14051077	01,09,05,03,08
14051078	05,07,11,08,06
14051101	10,11,04,03,07
14051102	03,04,06,09,10
14051103	02,03,01,04,08
14051104	09,02,01,06,11
14051105	01,07,10,02,08
14051106	02,11,10,04,03
14051107	01,11,06,04,10
14051108	02,06,01,04,03
14051109	04,09,06,08,07
14051110	05,01,03,07,04
14051111	04,09,03,01,10
14051112	07,06,03,04,08
14051113	06,03,09,02,07
14051114	04,03,02,05,11
14051115	07,11,06,02,05
14051116	06,01,04,03,05
14051117	06,05,11,04,09
14051118	07,10,01,03,02
14051119	06,08,10,07,11
14051120	03,05,11,07,08
14051121	02,07,09,08,01
14051122	02,10,11,01,04
14051123	06,11,07,10,08
14051124	06,09,07,02,11
14051125	02,03,05,07,10
14051126	09,01,08,11,03
14051127	01,11,10,08,02
14051128	01,07,02,08,04
14051129	08,11,03,05,02
14051130	01,11,09,06,03
14051131	01,06,09,11,08
